"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"1007206_1_RL_CPH.bin.63"	"Bacteria"	"Patescibacteria"	"Dojkabacteria"	"SC72"	"SC72"	"Unclassified_SC72"	"Unclassified_SC72"
"1007206_1_RL_CPH.bin.72"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	"Azonexus"	"Azonexus sp017302355"
"1007206_1_RL_CPH.bin.75"	"Bacteria"	"Patescibacteria"	"Dojkabacteria"	"SC72"	"SC72"	"UBA5232"	"Unclassified_UBA5232"
"1007206_1_RL_CPH.bin.81"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"	"Unclassified_Acinetobacter"
"1007206_1_RL_CPH.bin.86"	"Archaea"	"Halobacteriota"	"Methanosarcinia"	"Methanotrichales"	"Methanotrichaceae"	"Methanothrix"	"Methanothrix sp016706325"
"1007206_1_RL_CPH.bin.91"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Saccharofermentanales"	"DTU023"	"UBA4923"	"UBA4923 sp012511175"
"1007206_1_RL_CPH.bin.93"	"Bacteria"	"Chloroflexota"	"Anaerolineae"	"Promineofilales"	"Promineofilaceae"	"Promineofilum"	"Unclassified_Promineofilum"
"1007206_1_RL_CPH.bin.97"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Chromatiales"	"Chromatiaceae"	"M0108"	"Unclassified_M0108"
"1007206_1_RL_CPH.bin.99"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"JAAFJR01"	"JAAFJR01 sp016705065"
"1007208_1_RD_CPH.bin.10"	"Bacteria"	"Actinobacteriota"	"Actinomycetia"	"Mycobacteriales"	"Mycobacteriaceae"	"Mycobacterium"	"Mycobacterium alvei"
"1007209_1_RL_CPH.bin.82"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas_E"	"Unclassified_Pseudomonas_E"
"1007210_1_RA_CPH.bin.24"	"Bacteria"	"Actinobacteriota"	"Actinomycetia"	"Actinomycetales"	"Dermatophilaceae"	"JADKGA01"	"JADKGA01 sp016717165"
"1007211_1_RD_CPH.bin.21"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Weeksellaceae"	"Epilithonimonas"	"Epilithonimonas sp017989575"
"1007211_1_RD_CPH.bin.58"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Polaromonas"	"Unclassified_Polaromonas"
"1007212_1_RD_CPH.bin.69"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Psychrobacter"	"Unclassified_Psychrobacter"
"1007212_1_RD_CPH.bin.73"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	"Flavobacterium sp017989775"
"1007212_1_RD_CPH.bin.97"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas_E"	"Unclassified_Pseudomonas_E"
"1007213_1_RA_CPH.bin.34"	"Bacteria"	"Nitrospirota"	"Nitrospiria"	"Nitrospirales"	"Nitrospiraceae"	"Nitrospira_F"	"Nitrospira_F sp902500775"
"1007213_1_RA_CPH.bin.59"	"Bacteria"	"Actinobacteriota"	"Actinomycetia"	"Propionibacteriales"	"Propionibacteriaceae"	"Micropruina"	"Unclassified_Micropruina"
"1007213_1_RA_CPH.bin.84"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"UXAT02"	"Defluviicoccus_A"	"Unclassified_Defluviicoccus_A"
"1007215_2_RL_CPH.bin.38"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	"Propionivibrio"	"Propionivibrio sp017990155"
"1007217_1_RD_CPH.bin.85"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"JAGOEY01"	"Unclassified_JAGOEY01"
"1007218_2_RA_CPH.bin.48"	"Bacteria"	"Campylobacterota"	"Campylobacteria"	"Campylobacterales"	"Arcobacteraceae"	"Aliarcobacter"	"Aliarcobacter sp017995775"
"1007220_1_RD_CPH.bin.63"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Unclassified_Sphingomonadaceae"	"Unclassified_Sphingomonadaceae"
