"Site"	"City"	"Date"	"Replicate"	"Replicate_Bigger"	"DNA_conc"	"Year"	"Day"	"Day0"	"Season"	"Sample_Long_Name"
"1007226_1"	"Copenaghen_RL"	"Copenaghen"	2020-04-16	1	TRUE	"3,21"	"2020"	107	442	"spring"	"DTU_2020_1007226_1_MG_RL_CPH_Sewage_653"
"1007228_1"	"Copenaghen_RA"	"Copenaghen"	2020-04-27	1	TRUE	"15,5"	"2020"	118	453	"spring"	"DTU_2020_1007228_1_MG_RA_CPH_Sewage_655"
"1007229_1"	"Copenaghen_RD"	"Copenaghen"	2020-04-27	1	TRUE	"37,5"	"2020"	118	453	"spring"	"DTU_2020_1007229_1_MG_RD_CPH_Sewage_656"
"1007227_1"	"Copenaghen_RL"	"Copenaghen"	2020-04-27	1	TRUE	"36,7"	"2020"	118	453	"spring"	"DTU_2020_1007227_1_MG_RL_CPH_Sewage_654"
"1007231_1"	"Copenaghen_RA"	"Copenaghen"	2020-05-05	1	TRUE	"16,6"	"2020"	126	461	"spring"	"DTU_2020_1007231_1_MG_RA_CPH_Sewage_663"
"1007232_2"	"Copenaghen_RD"	"Copenaghen"	2020-05-05	2	TRUE	"30,6"	"2020"	126	461	"spring"	"DTU_2020_1007232_2_MG_RD_CPH_Sewage_664"
"1007230_3"	"Copenaghen_RL"	"Copenaghen"	2020-05-05	3	FALSE	"38,1"	"2020"	126	461	"spring"	"DTU_2020_1007230_3_MG_RL_CPH_Sewage_662"
"1007230_2"	"Copenaghen_RL"	"Copenaghen"	2020-05-05	2	TRUE	"38,1"	"2020"	126	461	"spring"	"DTU_2020_1007230_2_MG_RL_CPH_Sewage_662"
"1007234_1"	"Copenaghen_RA"	"Copenaghen"	2020-05-14	1	TRUE	"4,48"	"2020"	135	470	"spring"	"DTU_2020_1007234_1_MG_RA_CPH_Sewage_672"
"1007235_1"	"Copenaghen_RD"	"Copenaghen"	2020-05-14	1	TRUE	"4,53"	"2020"	135	470	"spring"	"DTU_2020_1007235_1_MG_RD_CPH_Sewage_673"
"1007233_1"	"Copenaghen_RL"	"Copenaghen"	2020-05-14	1	TRUE	"4,8"	"2020"	135	470	"spring"	"DTU_2020_1007233_1_MG_RL_CPH_Sewage_671"
"1007283_1"	"Copenaghen_RA"	"Copenaghen"	2020-05-20	1	FALSE	"39,5"	"2020"	141	476	"spring"	"DTU_2020_1007283_1_MG_RA_CPH_Sewage_1_678"
"1007284_1"	"Copenaghen_RA"	"Copenaghen"	2020-05-20	1	TRUE	"39,9"	"2020"	141	476	"spring"	"DTU_2020_1007284_1_MG_RA_CPH_Sewage_2_678"
"1007285_1"	"Copenaghen_RD"	"Copenaghen"	2020-05-20	1	FALSE	"36,6"	"2020"	141	476	"spring"	"DTU_2020_1007285_1_MG_RD_CPH_Sewage_1_679"
"1007286_1"	"Copenaghen_RD"	"Copenaghen"	2020-05-20	1	TRUE	"35,8"	"2020"	141	476	"spring"	"DTU_2020_1007286_1_MG_RD_CPH_Sewage_2_679"
"1007282_1"	"Copenaghen_RL"	"Copenaghen"	2020-05-20	1	TRUE	"23,6"	"2020"	141	476	"spring"	"DTU_2020_1007282_1_MG_RL_CPH_Sewage_2_677"
"1007281_2"	"Copenaghen_RL"	"Copenaghen"	2020-05-20	2	FALSE	"24,1"	"2020"	141	476	"spring"	"DTU_2020_1007281_2_MG_RL_CPH_Sewage_1_677"
"1007237_2"	"Copenaghen_RA"	"Copenaghen"	2020-05-28	2	TRUE	"32,1"	"2020"	149	484	"spring"	"DTU_2020_1007237_2_MG_RA_CPH_Sewage_684"
"1007238_2"	"Copenaghen_RD"	"Copenaghen"	2020-05-28	2	TRUE	"21,1"	"2020"	149	484	"spring"	"DTU_2020_1007238_2_MG_RD_CPH_Sewage_685"
"1007236_2"	"Copenaghen_RL"	"Copenaghen"	2020-05-28	2	TRUE	"36,7"	"2020"	149	484	"spring"	"DTU_2020_1007236_2_MG_RL_CPH_Sewage_683"
"1007240_1"	"Copenaghen_RA"	"Copenaghen"	2020-06-04	1	TRUE	"43,5"	"2020"	156	491	"summer"	"DTU_2020_1007240_1_MG_RA_CPH_Sewage_690"
"1007241_2"	"Copenaghen_RD"	"Copenaghen"	2020-06-04	2	TRUE	"36,4"	"2020"	156	491	"summer"	"DTU_2020_1007241_2_MG_RD_CPH_Sewage_691"
"1007239_1"	"Copenaghen_RL"	"Copenaghen"	2020-06-04	1	TRUE	"31,4"	"2020"	156	491	"summer"	"DTU_2020_1007239_1_MG_RL_CPH_Sewage_689"
"1007243_1"	"Copenaghen_RA"	"Copenaghen"	2020-06-10	1	TRUE	"43,2"	"2020"	162	497	"summer"	"DTU_2020_1007243_1_MG_RA_CPH_Sewage_696"
